text,label,source
this is AI,,Tiktok
Where zillion Dey 😂😂,,Tiktok
i don't want to memorize😂😂,,Tiktok
So nobody’s net worth has gotten to trillion 😳,,Tiktok
Don’t search 1 sextillion,,Tiktok
lord help me with atleast ten quintillion,,Tiktok
I said thousand thousand 😭🤣,,Tiktok
me waiting for 1 zillion,,Tiktok
good job you rea😂lly teaching me everything good thank you 🙏 but I don't have one now 🙎🙎,,Tiktok
Gimmie One Quintillion I want to check something😌,,Tiktok
"God, blessed me with one quintillion, Amen 🙏",,Tiktok
how i will be counting my money soon,,Tiktok
I thought there was also zillion,,Tiktok
bro is counting my money (in dept),,Tiktok
Is this AI I genuinely cannot tell,,Tiktok
I need it all,,Tiktok
Proof I’ll watch anything,,Tiktok
There is somebody who owns the last 😭😭😭,,Tiktok
where is drillion😂👀700 drillion,,Tiktok
Lord bless me with 100 quintillion🙏🙏🙏,,Tiktok
wow I have the money,,Tiktok
how about 1111,,Tiktok
Who has also played revolution idle x,,Tiktok
Who is watching this on Wednesday evening 😭😂😂,,Tiktok
How I want my money God 🥺,,Tiktok
I just need one man to date with one quintillion🤣. And all my zib solved,,Tiktok
I'm worth 8 Quintillion,,Tiktok
I plan to have one quintillion by the time I’m 18 [proud],,Tiktok
ohh God bless me with one quintillion😎,,Tiktok
Proof I’ll watch anything,,Tiktok
imagine net worth is one quintillion 💀,,Tiktok
is this guy Kimmich?,,Tiktok
"Be humble in life, it's only possible to him that believes and trusts in God for any figure...",,Tiktok
So who kon teach us Zillion?,,Tiktok
please am asking for some dollars,,Tiktok
one quintillion for me is enough ya Allah please 🤲,,Tiktok
1 quintillion keh !😂😂😂😂 devil don’t have that kind of money ooo,,Tiktok
Not me saying one thousand million 💀,,Tiktok
na that one Quintillion me dey find like this,,Tiktok
This is how my bank account should be in future,,Tiktok
I need the one behind Quintillion 🤐☹️,,Tiktok
And Russia fined Google $20 decillion 💀💀🙏,,Tiktok
I was to be a quintillionaire in all currencies🙏,,Tiktok
One quintillion no bad this December 😂💔,,Tiktok
never heard quintillion in my study's uganda olemwa,,Tiktok
"Proof, I watch anything",,Tiktok
I need twelve quintillion dollars rn😬😬😬,,Tiktok
Some future quintillional are reading this comment,,Tiktok
One quintllion kwacha my dream,,Tiktok
I didn't see my account balance because he didn't start from zero🥺🥺🥺,,Tiktok
shey nah only me heard 1 miyuon 🤑,,Tiktok
my bank balance is the number on top,,Tiktok
the end,,Tiktok
So where’s the zillion we’ve been saying 😂,,Tiktok
Na uncountable million I want 🤲😌,,Tiktok
Oh God bless me with One quintillion Billion dollars,,Tiktok
I was waiting for 1 drillion😂😂😂😂😂😂😂😂,,Tiktok
"what if Sally ate 10 quintillion apples?
How much is her hospital bill? 🧐",,Tiktok
Ahhhh wait oo who taught us Zillion 😂,,Tiktok
niki convert my savings to Ugandan shillings nakua na quadrillion 😂😂,,Tiktok
"he forgot my favourite number 10,000,000,000,000,000,000,000",,Tiktok
Na Ten adey now😪,,Tiktok
na the 1 quintillion I need so,,Tiktok
"Can't believe I thought after trillion it's zillion😳, so damn😂😂😂",,Tiktok
so no one has 1 quintillion in the world ?,,Tiktok
I want to be a quintillionaire😅😅,,Tiktok
I wonder who's a Quintillionaire,,Tiktok
so you mean there's no zillion😂😂,,Tiktok
one womanillion😳😂😂,,Tiktok
Proof I’ll watch anything,,Tiktok
need One quintillion dollars right now,,Tiktok
our level of ritual will get to quintillion soon I mean soon,,Tiktok
"👍 My target for 2040 , the humble amount at the bottom 😏😏",,Tiktok
my net worth it's one tutorialian,,Tiktok
Screen shot 😛,,Tiktok
See that quintillion Enh na him I Dey find like this 🥲🤌🏾😂,,Tiktok
Yeah that’s it I need 100 quadrillion 😔,,Tiktok
I need a genuine relationship guys,,Tiktok
Some people don’t know,,Tiktok
I want a 1Q and iam out🫡,,Tiktok
Who else knows from idle games —>,,Tiktok
in the Netherlands is 100 just hundred and not one hundred,,Tiktok
this my debt,,Tiktok
I need one million in sha Allah in this year,,Tiktok
Nobody has money worth Quadrillion or Quintillion,,Tiktok
Good bless me with 1 quintillion 🥺🥰,,Tiktok
If it’s like this means that they need to create a new word for each digit……..,,Tiktok
Proof that I'll watch anything,,Tiktok
Amen I claim it,,Tiktok
Who is here Monday 11th😂😂😂,,Tiktok
Make a video for Septillion 😌,,Tiktok
lol I Dey struggle between 1 to 10 ahhh ajeh,,Tiktok
0ne trillion is enough for me .mazima,,Tiktok
have not reached the fine Google charged,,Tiktok
I want to be a quadrillionia,,Tiktok
Thanks man ddnt know rhe last one .,,Tiktok
Way up 🔝 🆙💰💰,,Tiktok
big bro thank God will bless you more 🙏100.000,,Tiktok
i thought after trillion ni dollars 😂😂😂😂kumbavu zangu🤣🤣🤣,,Tiktok
what must I do to be a Quintillionaire 🤔?,,Tiktok
l need hundred quintillions Amen,,Tiktok
thanks 👍,,Tiktok
don't search one guintillion 🤪🤪,,Tiktok
thanks.,,Tiktok
Need one Quintillion dollars right now.,,Tiktok
thank u man🙏🙏🙏🙏,,Tiktok
I need one trillon,,Tiktok
100 billion in Jesus name amen,,Tiktok
thank you boss.,,Tiktok
"The 0 change our lives,the only number exist is 1-9",,Tiktok
this is my debt fr,,Tiktok
1 trillion Naira please Lord 🙏❤,,Tiktok
i still the 10 thousand😓,,Tiktok
"please help me, Lord,",,Tiktok
I have 20 cents,,Tiktok
"I swear I receive 100,000,000,000,000,000,000 hundred quintillion in this 2025🙏🙏🙏",,Tiktok
i know one billion only🤣🤣,,Tiktok
"for school dem only teach us reach million, meaning say nothing concern us reach one quintillion 🤣🤣🤣",,Tiktok
Very clean,,Tiktok
one thousand shs,,Tiktok
At least I once on number 06 💃💃💃💃,,Tiktok
teamwork is great,,Tiktok
Na that last one I Dey fine,,Tiktok
Ai will say its haters,,Tiktok
Quantity is quantity!,,Tiktok
God I want the money 💴,,Tiktok
one trion,,Tiktok
god bless me with 100 billion 🥰🥰🥰,,Tiktok
"lord bless me, just one billion is enough😁",,Tiktok
team work 💪 help,,Tiktok
it only ahpte,,Tiktok
anyone have in the world who saved money Quintillion 😀,,Tiktok
Craving 1 quintillion dollars for Christmas,,Tiktok
Ten trillion dollars is enough.🤠,,Tiktok
all this things no concern us wey no get 10k,,Tiktok
how to be sextilionaire 😢,,Tiktok
Me patiently waiting for Zillion😭😭😭,,Tiktok
thanks teacher🥰,,Tiktok
"One thousand , billion",,Tiktok
who am I here😂,,Tiktok
where is gugol plex,,Tiktok
Still not enough to pay googles bill,,Tiktok
that is my tax price,,Tiktok
Not even close to 100 000 for my annual 😒. Hayi shame Bawo,,Tiktok
only my dear Zimbabweans understand this,,Tiktok
i want to start my business so it's good for me to learn more about counting money,,Tiktok
You mean to tell me gazillion ain't real...,,Tiktok
you did NOT need ai for this bro 😭,,Tiktok
Proof id watch anything,,Tiktok
now give me that in money,,Tiktok
WHAT COUNTRY IS THIS?,,Tiktok
"one thousand ❌
ten hundred ✅",,Tiktok
The lord still loves us more 🥰than,,Tiktok
Proof I’ll watch anything,,Tiktok
I need all this in my account,,Tiktok
Ai,,Tiktok
Zimbabwe's economy,,Tiktok
the last number money give me ya alaah🥺,,Tiktok
where is one firillion ?,,Tiktok
this is the sequence of how am going to be rich 🥺🥺AMEN,,Tiktok
By the time Quintillion loses value they are gonna start again to cents😅,,Tiktok
Who waited for the last to screenshot it ?,,Tiktok
All this amounts nor still reach my account balance sha 😂,,Tiktok
I'll settle with a trillion & made a quintrillion🥰💯,,Tiktok
One quintillion is enough for me even if it’s naira baba God abeg,,Tiktok
Teamwork (2000),,Tiktok
i want to be the first quintillionaire💪😂,,Tiktok
Me i only know hundred thousand coz this the end of money i have ever touch in my and a Ugandan shillings 😂😂😂,,Tiktok
"current money😏:
0,000,000,000,000,000,000,027",,Tiktok
why does it feel like I'm counting my money 💀💀😭😭😭,,Tiktok
ooh my God bless me with ten billion,,Tiktok
God just bless me with 100 million,,Tiktok
"hmm no be one quintillion oh, na one four trillion after hundred trillion for 9ja🤣🤣🤣",,Tiktok
things schools don teach students,,Tiktok
i tap such blessing of money in my account,,Tiktok
In Uganda we don't have those quintillions 😂😂😂,,Tiktok
What about one hundred thousand 😂😂 isn’t good?,,Tiktok
I'm Praying For One Quintillion 😩🙏,,Tiktok
"TWELVE MILLION EIGHT HUNDRED METERS
ONE SECOND",,Tiktok
i will have one quintillion in Jesus name amen 🙏🙏🙏,,Tiktok
it shall be my portion this year in Jesus Mighty Name,,Tiktok
So what do we call those that have A Quintillion,,Tiktok
where is septillionth,,Tiktok
please help me,,Tiktok
God bless me with one trillion dollars in Jesus name amen 🤲🏽,,Tiktok
which country use these amounts of money in this world,,Tiktok
team work,,Tiktok
I wish the last one,,Tiktok
how to be quintllion🥺,,Tiktok
"I pray to you Almighty Allah 🙏 please bless me with just one billion before before end of this year 2025
Amen Thumma Amen 🙏🙏🙏",,Tiktok
No need to know quintillion 🤣🤣😂😂😂,,Tiktok
"10000000000
I need only",,Tiktok
which one come be @1Betrellions,,Tiktok
I followed and live you❤️❤️❤️,,Tiktok
☺️☺️Tell for thank☺️,,Tiktok
my first time to hear this wonderful 😂😂😂😂😂 hilarious 🤣🤣🤣,,Tiktok
only my dear Zimbabweans understand this,,Tiktok
i want to start my business so it's good for me to learn more about counting money,,Tiktok
You mean to tell me gazillion ain't real...,,Tiktok
you did NOT need ai for this bro 😭,,Tiktok
@Fredo Therapar🇬🇭,,Tiktok
Bros not even saying it,,Tiktok
Proof id watch anything,,Tiktok
I wanna be a just Ten million 🥺 For Going to Hajj/Umrah,,Tiktok
Thousand Thousand,,Tiktok
now give me that in money,,Tiktok
Acha,,Tiktok
WHAT COUNTRY IS THIS?,,Tiktok
Craving 1 quintillion dollars for Christmas,,Tiktok
so nothing like zillion 🥺,,Tiktok
"one thousand ❌
ten hundred ✅",,Tiktok
Nah that last one I Dey find🥹😊,,Tiktok
So where’s zillion,,Tiktok
The lord still loves us more 🥰than,,Tiktok
Proof I’ll watch anything,,Tiktok
those are all the numbers in my bank account😂(without the 1s),,Tiktok
need me 100 thousand quintillion rn,,Tiktok
I need all this in my account,,Tiktok
I need that 1 quintillion😤😤😤😤💔,,Tiktok
Send it too my account,,Tiktok
why are people billionaires but not trilionare,,Tiktok
What do you want me to do with this information,,Tiktok
Ai,,Tiktok
@Nurudeen Pjanic make the God of quintillions locate us 😅,,Tiktok
"Even I don't have ten thousand on, God please continue bless me. Amen.",,Tiktok
"This my mouth almost said 1,000,000,000 ""thousand million""😂😂😂😂😂😂",,Tiktok
am a quadrillionier here in Uganda Africa. don't joke with me bro,,Tiktok
Zimbabwe's economy,,Tiktok
Where is Zillion and Gillion 😳,,Tiktok
the last number money give me ya alaah🥺,,Tiktok
where is one firillion ?,,Tiktok
them roblox Sims and tycoons came in clutch 😝😝,,Tiktok
this is the sequence of how am going to be rich 🥺🥺AMEN,,Tiktok
By the time Quintillion loses value they are gonna start again to cents😅,,Tiktok
Who waited for the last to screenshot it ?,,Tiktok
One onion 🧅,,Tiktok
God pls bless me with 1 billion 💰🙏,,Tiktok
Last one is Zillion 😂,,Tiktok
so someone ever have this in his or her account before 😂😂😂,,Tiktok
All this amounts nor still reach my account balance sha 😂,,Tiktok
None of them dey account,,Tiktok
After that?,,Tiktok
abeeg if u stop for that 100 million it Don do for me abeg God,,Tiktok
tamil got more than English 🤙😁,,Tiktok
Please I need the 9th please I’ve never see that type of money in my life 🤲😭,,Tiktok
good teacher 👍💯,,Tiktok
I read this a gazillion times! 👌🏽🇦🇺,,Tiktok
it's my first time to hear about quintrillion,,Tiktok
Teamwork 100k,,Tiktok
so there is Quintillion 😳😳😳,,Tiktok
🤔and now my teacher was wrong when he taught me one zillion ✍️😁,,Tiktok
My dream husbands money,,Tiktok
Great,,Tiktok
I only have number 2 in my savings 🤣🤣,,Tiktok
Na one quintillion I d find like this😭💔,,Tiktok
I'm in the range of one...... yeah 👍,,Tiktok
This proves i would watch anything,,Tiktok
merry Christmas,,Tiktok
Cought my a saying a thousand thousand in one million,,Tiktok
"Please lord, bless me with just one billion 😢😢",,Tiktok
thanks,,Tiktok
Cool thanks 👍,,Tiktok
think you teacher 😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃,,Tiktok
how to be?,,Tiktok
isn't that the sound of an airplane landing?,,Tiktok
Damnn I thought this is the prediction of xrp price 😂😂😂,,Tiktok
Most of you are at 5 mara niyaphapha,,Tiktok
Elon Musk in response: I am taking giant steps to finish this list,,Tiktok
we used to buy a loaf of bread for 10 billion dollars,,Tiktok
proof I'll watch anything,,Tiktok
what pilots hear when they land,,Tiktok
please help me🙏,,Tiktok
Merry Christmas,,Tiktok
"rp. 5,555,555 in english???",,Tiktok
The amount of times I goon a day,,Tiktok
What next?,,Tiktok
I the last one wrong but I got the rest correct,,Tiktok
The More you have less peace of mind,,Tiktok
I only know this from Roblox🙏,,Tiktok
teamwork,,Tiktok
what's after quintillion,,Tiktok
So 1 zillion isn't real,,Tiktok
this is so helpful 😊😊😊😊😊😊😊😊😊😊😊😊😊,,Tiktok
my almighty Allah continue to bless everyone of us,,Tiktok
"the ""im not that rich"" guy, counting the money in the back of his phone",,Tiktok
"I have the 18 zeros already, just a 1 on the left and I'm a quintillionaire",,Tiktok
whyd bro try not to laugh,,Tiktok
hiyo quintition imetokea wap🤣🤣,,Tiktok
Na this kind money I wan make abeg,,Tiktok
Proof that ill watch anything,,Tiktok
this is my bank account,,Tiktok
my balance at 18 inchallah,,Tiktok
What is this then?10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000😅0,,Tiktok
Bro I watch dragon ball power scaling😭,,Tiktok
As Zimbabweans we know this already kkkk🤣🤣🤣,,Tiktok
do in swedish please🥰🥰🥰,,Tiktok
I’m happy with just one hundred million 🙏💰,,Tiktok
i have 2 quintillion in the bank,,Tiktok
not me just saying it faster than bro,,Tiktok
Even just 10k i don't have this life no balance ☺️,,Tiktok
please I the last one,,Tiktok
God bless me with just one billion naira am okay the whole of my family no go suffer again God abeg have mercy on me,,Tiktok
is Gijillion real,,Tiktok
Just reached my name at the end 👴,,Tiktok
dont search the googolnonplex 😆😆😆 thousand of the quadrillion,,Tiktok
Na that one quintillion dollar gangan I dey find like this,,Tiktok
and all of a sudden 1 million looks so small,,Tiktok
3034-7730 what,,Tiktok
what must I do to be a Quintillionaire 🤔?,,Tiktok
100 billion in Jesus name amen,,Tiktok
"bless me with 100,000,000,000,000,000",,Tiktok
1 trillion Naira please Lord 🙏❤,,Tiktok
"I swear I receive 100,000,000,000,000,000,000 hundred quintillion in this 2025🙏🙏🙏",,Tiktok
1M follower please,,Tiktok
"So apt yeah, I am a quintllionire",,Tiktok
#teamwork,,Tiktok
I have only one quadrillion in my accounts,,Tiktok
I claim the last one 🤲,,Tiktok
I need the Q,,Tiktok
I want 2 Quintillion,,Tiktok
And more...,,Tiktok
10 ten 🥰😎 joy 🤩 is coming 🤟,,Tiktok
I need 1 quintillions of Girlfriends 🔥🔥,,Tiktok
"Any Nigeria which one dey ur account as for me
100,000",,Tiktok
God I’m not asking for too much I just need 100 quintillion😩🤲,,Tiktok
good day can I get little,,Tiktok
there is skwillion,,Tiktok
1 trillion is okay for me,,Tiktok
And I thought I could count shame on me I only knew until billion,,Tiktok
i will become a one quintillion. by the grace if God. Amen,,Tiktok
My God please blessbme with 10 quintillion right now in Jesus name.,,Tiktok
Lord just bless me with 10 million,,Tiktok
"I need a genuine relationship guys, 💓 🥰",,Tiktok
Why did this pmo 🤣 thanks for the info tho 😭,,Tiktok
anyone give me thousand quintillion 🥺😭,,Tiktok
Why y'all are offline?,,Tiktok
For everybody wondering a 1 with 100 zeros is called a googol,,Tiktok
I said thousand billion 😁,,Tiktok
@esther,,Tiktok
my coins in a random pet simulator clicker,,Tiktok
mery pas just 10 hain😁😁😁😂😂😂😂😂😂😂,,Tiktok
beast,,Tiktok
"Please Lord, bless me with just one quintillion🥺",,Tiktok
en french please,,Tiktok
"I never reach one million in my life 😢😢 even I never close 🙏🙏🙏^God please destiny helper that make my journey of reaching millions should locate me as soon as possible,I want to experience it too",,Tiktok
we learn everyday,,Tiktok
"Last week I lost my R100 quintillion, anyone heard anything about it?",,Tiktok
then what's gazillion?,,Tiktok
100000 ten thousand,,Tiktok
100 quadrillion will be in my account,,Tiktok
where the sigma is 1 sextillion,,Tiktok
who's watching on 10th Dec,,Tiktok
not me saying zillion after trillion🤣,,Tiktok
did I hear one queen Italian 😂,,Tiktok
my knowledge ends in billions 😞😞😞,,Tiktok
send am for my account,,Tiktok
Don't search up 1 quintillion x 1 thousand,,Tiktok
Easy to say hard to get 🥺,,Tiktok
please 10'000,,Tiktok
Hundred Quintilion....😎💯🔥,,Tiktok
I'll settle with a trillion & made a quintrillion🥰💯,,Tiktok
boyyyy the limitations only get you so far,,Tiktok
it's ai,,Tiktok
l want all the money,,Tiktok
I received ten trillion as my portion of spend as we enter 2025 in Jesus mighty name,,Tiktok
"I FIGHT FOR LAST one , one day I can make it",,Tiktok
I will not need this,,Tiktok
How Russia increased the amount of money to sue Google:,,Tiktok
Don’t search Yapayp zolk guys 😭,,Tiktok
i always end on trillion counting🤣🤣🤣,,Tiktok
thanks 👍,,Tiktok
thank you,,Tiktok
1 billion I said 1 thousand million 😂😂😂😂,,Tiktok
i want 1 quintillion in my account now,,Tiktok
I am an Arab and I have never known Assamese,,Tiktok
who else forwarded to the end list sharp sharp 😂😂😂,,Tiktok
i will become a quintillion dollars in Jesus name amen 🙏😂,,Tiktok
"one quintillion, so you cannot walk on the road normally why money as much",,Tiktok
mmmh how about zillion,,Tiktok
That’s the money I need now God 🙏,,Tiktok
I need one Quintillion Kuwaiti Dinar🙏 @𝓡 𝓘 𝓒 𝓗 @MrBeast,,Tiktok
I need ten million please,,Tiktok
"You all want quintillion it’s a joke .How many of us having even 100,000 dollars in our account",,Tiktok
The numbers are endless,,Tiktok
what🗿,,Tiktok
God grant me wisdom and a good name,,Tiktok
i know all of these bacause of afs,,Tiktok
I have stopped on trillion,,Tiktok
Proof that I’ll watch anything,,Tiktok
why does this have 1.2m likes💀,,Tiktok
kia ap bhi wohi soch rahy hain..?👀😅😂,,Tiktok
i can’t believe ppl doesn’t notice this is ai..,,Tiktok
Rusia with Google :,,Tiktok
I think my account balance is hovering between the first and second,,Tiktok
Why are the Eyebrows doing the macarena 😭😭,,Tiktok
I know all the numbers up to Nocentillion,,Tiktok
I will have one quintillion,,Tiktok
i am the only quintillionare in UGANDA 🇺🇬,,Tiktok
One Thousand 😏,,Tiktok
this is how I will be counting my money in Jesus name,,Tiktok
How does blud have the patience for that 💀💀,,Tiktok
how to reach quintillion?,,Tiktok
thanks so much 10k,,Tiktok
"Dear Lord, One QUINTILLION. Thank you",,Tiktok
I want to be quintillion bfr i rich 50 years,,Tiktok
"ten thousands... everything else with ""s"" as multiple",,Tiktok
mujhe 100 billion nhi chahiya bss 1 quintillion chahiya🥹😁,,Tiktok
Then sextillion septillion octillion nonillion and decicliion,,Tiktok
how much money do I need?,,Tiktok
bro just sound Like the metters information in plane,,Tiktok
what about goognilions?,,Tiktok
Why is Kimmich teaching English 😭,,Tiktok
So 1 ZILLION ain’t real 😭,,Tiktok
the penultimate sum will also be enough for me 🤗👍,,Tiktok
YO THIS IS THE GUY THAT SAYS “500 400 300 200 approaching minimums”,,Tiktok
This are all my money 💴 🥰,,Tiktok
God may the Quintillion locate me,,Tiktok
I need ten millions,,Tiktok
I only count this when I am attacked by a disease called insomnia!,,Tiktok
more maths please,,Tiktok
help me with hundred million only,,Tiktok
1 million me good wid dat sleep better too much money too much problem,,Tiktok
and ilon🤑,,Tiktok
"@nkb:Please Lord, bless me with just one quintillion🥺",,Tiktok
"Dear sir.I have a question what is the deference between 100,000 hundred thousand and 1,000,000,000 one billion please I won’t to know 😳😳",,Tiktok
I received more in Jesus name,,Tiktok
may we have all this in our accounts 😁😁😁,,Tiktok
God please give me one Quintillion 🙏😭,,Tiktok
I always say after Trillion is Zillion😂😂,,Tiktok
what about zillion🤣🤣🤣,,Tiktok
I'm Courtland mfin Sutton,,Tiktok
how I wish my money increases,,Tiktok
Zuma uthi 1 million and 3bob😂,,Tiktok
I’m trying to get one quintillion right now 😭,,Tiktok
Germany 💀,,Tiktok
Who tf someone have this much money 😭🙏🏼,,Tiktok
And Russia tried suing google over a decillion,,Tiktok
how much money i need,,Tiktok
Nah that one quitillion dollar I want 🥹,,Tiktok
that is all my money in Jesus and i claim it in jesua and i believe in u god that u we do it for me without no look at my sin❤️❤️❤️❤️,,Tiktok
i neve knew that it do reaches that extent,,Tiktok
I need the last one into my acct🥰,,Tiktok
Thank you I want to be a quintillionaire,,Tiktok
Bros saying my bank account without the ones,,Tiktok
Why is it one “quad”drillion when it has 5 sets of 000?,,Tiktok
Who knows from adventure capitalist😭🙏,,Tiktok
how many people have a screen shot 😄😃😃😃😄 your hand up,,Tiktok
Counting up my debts,,Tiktok
i want to be quintillionaire in the near future 😁😅,,Tiktok
what about Dillion,,Tiktok
"Not even half of what Google has to pay Russia, apparently",,Tiktok
He’s wrong as hundred thousand does really specify it u have to say one hundred thousand,,Tiktok
Mzansi kante where is Trillion,,Tiktok
Me counting my one quintillion,,Tiktok
Proof ill watch anything,,Tiktok
This is how I want my account keep counting,,Tiktok
thanks,,Tiktok
You just counted my money in Jesus name Amen 🙏,,Tiktok
"Dear Lord bless me with the last one,Amen 🙏",,Tiktok
what is googol,,Tiktok
team work please support me 🥺🙏🙏,,Tiktok
I only need 1 trillion USD 😂😂😂,,Tiktok
"I always receive the last amount in my night dreams , am a night dreamer quintillionare",,Tiktok
0 money bro😁,,Tiktok
I know one quintillion,,Tiktok
100 Trillion Enough..😁😂🤪😁,,Tiktok
"""Would you rather?"" Ahh voice",,Tiktok
its easy,,Tiktok
i need 2billion God please bless me,,Tiktok
"l need one billion, or Lord bless me",,Tiktok
is there any end of numbers? I mean the last count and nothing follows,,Tiktok
Na that one quintillion I Dey find like this,,Tiktok
"y say hundred thousand, it is one hundred thousand gwe 😂😂",,Tiktok
wheres googozilion,,Tiktok
@Daniel Ituma:quantillionaires gather here we have a special meeting 😁😁😁,,Tiktok
"Other:One million
Me:Thousand thousand🤣",,Tiktok
Ten billion enough for me😂😂😂,,Tiktok
nah there my moni don long reach big mood,,Tiktok
my Lord has the answer 🙏🙏🙏🙏,,Tiktok
Not me thinking Zillion,,Tiktok
Sounds like the voice from flight sim when you fly low,,Tiktok
Thank you so much dear 🙏🙏,,Tiktok
where's gangallion😅🤣,,Tiktok
hhhhhe Give me,,Tiktok
"please help me with 10, million dollars pls 🌹❤️❤️",,Tiktok
God will make a way for me from ten to one quintillion. if you believe lets gather her,,Tiktok
what about decilion,,Tiktok
nothing is safe to search,,Tiktok
O lord pls bless me with this money🙏,,Tiktok
The biggest number on earth is googol or 100 zeros or for the smart people 1x10100,,Tiktok
POV me on farming sim,,Tiktok
Tell me why I said “2” after he said 10,,Tiktok
In Spanish 💀💀,,Tiktok
Proof you will watch anything,,Tiktok
This proves I’ll watch anything,,Tiktok
I want to be a quintillionaire o lord🥺🥺🥺,,Tiktok
Dear God I need hundred quintillion dollars rn🥹😭😭😭,,Tiktok
sothe richest man in the world is not even quandrillionare.,,Tiktok
Kanti u Drillion is how many zeros,,Tiktok
Pls tell me how to get one quintillion in two days pls 😩😩😩😂😂,,Tiktok
there's no thousand millions,,Tiktok
So no one zillion😳. I’ve been lied to all these years😂,,Tiktok
I have the last one in my bank account,,Tiktok
we never heard quintilion at school,,Tiktok
one hundred thousand,,Tiktok
ny balance after starting forex 🤑,,Tiktok
I know say some money pass 1million ohh😅,,Tiktok
I don’t have ten in my account hmmm,,Tiktok
those with 100😂😂😂helooo,,Tiktok
cool,,Tiktok
where is 150,,Tiktok
was waiting apo afrer trillion ni gani😂😂,,Tiktok
i already know that cause i play Roblox 😂,,Tiktok
me in cookie clicker,,Tiktok
